plan_id,amplitude_m,pavage,valid_before,status,valid_after,seed,max_displacement_m
syn-0000,0.1,False,False,InvariantViole,False,17002,
syn-0000,0.1,True,False,ok,True,17002,0.100000
syn-0000,0.25,False,False,ok,True,17005,0.250000
syn-0000,0.25,True,False,ok,True,17005,0.250000
syn-0000,0.5,False,False,InvariantViole,False,17010,
syn-0000,0.5,True,False,ok,True,17010,0.500000
syn-0001,0.1,False,False,InvariantViole,False,17012,
syn-0001,0.1,True,False,ok,True,17012,0.100000
syn-0001,0.25,False,False,ok,True,17015,0.250000
syn-0001,0.25,True,False,ok,True,17015,0.250000
syn-0001,0.5,False,False,ok,True,17020,0.500000
syn-0001,0.5,True,False,ok,True,17020,0.500000
syn-0002,0.1,False,False,ok,True,17022,0.100000
syn-0002,0.1,True,False,ok,True,17022,0.100000
syn-0002,0.25,False,False,ok,True,17025,0.250000
syn-0002,0.25,True,False,ok,True,17025,0.250000
syn-0002,0.5,False,False,ok,True,17030,0.500000
syn-0002,0.5,True,False,ok,True,17030,0.500000
syn-0003,0.1,False,False,ok,True,17032,0.100000
syn-0003,0.1,True,False,ok,True,17032,0.100000
syn-0003,0.25,False,False,InvariantViole,False,17035,
syn-0003,0.25,True,False,ok,True,17035,0.250000
syn-0003,0.5,False,False,InvariantViole,False,17040,
syn-0003,0.5,True,False,ok,True,17040,0.500000
syn-0004,0.1,False,False,InvariantViole,False,17042,
syn-0004,0.1,True,False,ok,True,17042,0.100000
syn-0004,0.25,False,False,ok,True,17045,0.250000
syn-0004,0.25,True,False,ok,True,17045,0.250000
syn-0004,0.5,False,False,InvariantViole,False,17050,
syn-0004,0.5,True,False,ok,True,17050,0.500000
syn-0005,0.1,False,False,ok,True,17052,0.100000
syn-0005,0.1,True,False,ok,True,17052,0.100000
syn-0005,0.25,False,False,InvariantViole,False,17055,
syn-0005,0.25,True,False,ok,True,17055,0.250000
syn-0005,0.5,False,False,ok,True,17060,0.500000
syn-0005,0.5,True,False,ok,True,17060,0.500000
syn-0006,0.1,False,False,InvariantViole,False,17062,
syn-0006,0.1,True,False,ok,True,17062,0.100000
syn-0006,0.25,False,False,InvariantViole,False,17065,
