minimum_area_m2,deg,moved_from_l1_m,h_sw,h_nw,smallest_room_m2
0.0,0,20.219332,2.418598,6.581402,7.320054
0.0,45,34.000000,1.000000,8.000000,1.000000
0.0,90,16.194796,6.311266,2.688734,10.116542
0.0,135,34.000000,8.000000,1.000000,1.000000
0.0,180,8.474490,5.330357,3.669643,17.290384
0.0,225,7.051868,6.206491,2.793509,19.223217
0.0,270,16.195734,6.311194,2.688806,10.115989
0.0,315,18.352334,1.000000,8.000000,4.911916
12.0,0,8.325125,2.418719,6.581281,14.512312
12.0,45,19.730469,4.500000,4.500000,12.025760
12.0,90,13.266766,4.500000,4.500000,16.932339
12.0,135,3.005380,5.079687,3.920313,22.559556
12.0,180,3.321606,5.330401,3.669599,22.017591
12.0,225,5.991824,5.954435,3.045565,20.455426
12.0,270,15.371510,1.815090,7.184910,14.951861
12.0,315,19.730469,1.289311,7.710689,12.025760
