seed,regime,n,coverage,mean_width,target_std
17,exchangeable,280,0.9143,119.4328,25.1483
17,selected,80,0.8625,119.4328,26.3209
18,exchangeable,280,0.8857,119.1030,24.9795
18,selected,80,0.9250,119.1030,24.8927
19,exchangeable,280,0.9214,120.6284,25.0902
19,selected,80,0.9000,120.6284,25.9609
20,exchangeable,280,0.8929,118.3089,25.1922
20,selected,80,0.7875,118.3089,26.0604
21,exchangeable,280,0.9071,121.5584,25.3497
21,selected,80,0.9000,121.5584,25.8250
22,exchangeable,280,0.8643,119.6968,26.5047
22,selected,80,0.9250,119.6968,24.5744
23,exchangeable,280,0.8964,120.7408,25.6578
23,selected,80,0.8500,120.7408,26.3058
24,exchangeable,280,0.8750,119.2215,24.3835
24,selected,80,0.8375,119.2215,25.7387
25,exchangeable,280,0.8929,120.3127,26.5161
25,selected,80,0.8875,120.3127,26.4919
26,exchangeable,280,0.9071,120.1123,25.1893
26,selected,80,0.9125,120.1123,26.3018
27,exchangeable,280,0.8929,118.6213,24.8470
27,selected,80,0.8500,118.6213,26.6835
28,exchangeable,280,0.9429,120.9866,24.2751
28,selected,80,0.8375,120.9866,28.0782
29,exchangeable,280,0.8893,120.4886,25.6553
29,selected,80,0.8750,120.4886,27.0748
30,exchangeable,280,0.9000,120.5061,24.8558
30,selected,80,0.8750,120.5061,27.2034
31,exchangeable,280,0.8750,105.9411,25.5432
31,selected,80,0.8125,105.9411,26.8385
32,exchangeable,280,0.9179,120.1299,24.2836
32,selected,80,0.9375,120.1299,24.7990
33,exchangeable,280,0.9357,121.1237,24.8107
33,selected,80,0.9250,121.1237,25.5567
34,exchangeable,280,0.8786,120.6499,25.1859
34,selected,80,0.8875,120.6499,25.9970
35,exchangeable,280,0.9429,121.8956,24.4554
35,selected,80,0.9125,121.8956,26.9882
36,exchangeable,280,0.9357,120.5820,26.0077
36,selected,80,0.8875,120.5820,28.4400
