plan_id,programme,graphe,n_pieces,mode,budget,largeur_min,valide_avant,valide_apres,n_pieces_apres,cote_min_apres,intact,cellules,recouvrements_avant,part_jour_avant,part_trou_avant,morceaux_avant,cote_m,deplacement_max_m,deplacement_relatif,temps_ms,statut
hd0000,living+kitchen+bathroom,etoile,3,base,,0.50,False,False,,,,12,0.667,0.4777,0.0000,2,11.282,,,5.163,invariant_viole
hd0000,living+kitchen+bathroom,etoile,3,pavage,0,0.50,False,False,,,,12,0.667,0.4777,0.0000,2,11.282,,,0.845,trame
hd0000,living+kitchen+bathroom,etoile,3,pavage,4,0.50,False,False,,,,12,0.667,0.4777,0.0000,2,11.282,,,0.675,trame
hd0000,living+kitchen+bathroom,etoile,3,pavage,8,0.50,False,False,,,,12,0.667,0.4777,0.0000,2,11.282,,,0.597,trame
hd0000,living+kitchen+bathroom,etoile,3,pavage,16,0.50,False,False,,,,12,0.667,0.4777,0.0000,2,11.282,,,0.585,trame
hd0000,living+kitchen+bathroom,etoile,3,pavage,16,0.00,False,False,,,,12,0.667,0.4777,0.0000,2,11.282,,,0.559,trame
hd0000,living+kitchen+bathroom,etoile,3,pavage,16,0.25,False,False,,,,12,0.667,0.4777,0.0000,2,11.282,,,0.594,trame
hd0000,living+kitchen+bathroom,etoile,3,pavage,16,1.00,False,False,,,,12,0.667,0.4777,0.0000,2,11.282,,,0.688,trame
hd0000,living+kitchen+bathroom,etoile,3,pavage,16,1.80,False,False,,,,12,0.667,0.4777,0.0000,2,11.282,,,0.559,trame
hd0001,living+kitchen+bathroom,etoile,3,base,,0.50,False,False,,,,25,0.667,0.4233,0.0000,2,8.415,,,1.729,invariant_viole
hd0001,living+kitchen+bathroom,etoile,3,pavage,0,0.50,False,False,,,,25,0.667,0.4233,0.0000,2,8.415,,,0.554,trame
hd0001,living+kitchen+bathroom,etoile,3,pavage,4,0.50,False,True,3,1.3554,True,25,0.667,0.4233,0.0000,2,8.415,11.204366,1.3315,2.158,ok
hd0001,living+kitchen+bathroom,etoile,3,pavage,8,0.50,False,True,3,1.3554,True,25,0.667,0.4233,0.0000,2,8.415,11.204366,1.3315,2.149,ok
hd0001,living+kitchen+bathroom,etoile,3,pavage,16,0.50,False,True,3,1.3554,True,25,0.667,0.4233,0.0000,2,8.415,11.204366,1.3315,2.262,ok
hd0001,living+kitchen+bathroom,etoile,3,pavage,16,0.00,False,True,3,1.3554,True,25,0.667,0.4233,0.0000,2,8.415,11.204366,1.3315,2.528,ok
hd0001,living+kitchen+bathroom,etoile,3,pavage,16,0.25,False,True,3,1.3554,True,25,0.667,0.4233,0.0000,2,8.415,11.204366,1.3315,2.383,ok
hd0001,living+kitchen+bathroom,etoile,3,pavage,16,1.00,False,True,3,1.3554,True,25,0.667,0.4233,0.0000,2,8.415,11.204366,1.3315,2.302,ok
hd0001,living+kitchen+bathroom,etoile,3,pavage,16,1.80,False,True,3,1.8000,True,25,0.667,0.4233,0.0000,2,8.415,11.204366,1.3315,2.337,ok
hd0002,living+kitchen+bathroom,etoile,3,base,,0.50,False,False,,,,20,1.333,0.2127,0.0000,1,8.450,,,1.691,invariant_viole
hd0002,living+kitchen+bathroom,etoile,3,pavage,0,0.50,False,True,3,1.8072,True,20,1.333,0.2127,0.0000,1,8.450,3.614312,0.4277,2.173,ok
hd0002,living+kitchen+bathroom,etoile,3,pavage,4,0.50,False,True,3,1.8072,True,20,1.333,0.2127,0.0000,1,8.450,3.614312,0.4277,2.477,ok
hd0002,living+kitchen+bathroom,etoile,3,pavage,8,0.50,False,True,3,1.8072,True,20,1.333,0.2127,0.0000,1,8.450,3.614312,0.4277,2.140,ok
hd0002,living+kitchen+bathroom,etoile,3,pavage,16,0.50,False,True,3,1.8072,True,20,1.333,0.2127,0.0000,1,8.450,3.614312,0.4277,2.250,ok
hd0002,living+kitchen+bathroom,etoile,3,pavage,16,0.00,False,True,3,1.8072,True,20,1.333,0.2127,0.0000,1,8.450,3.614312,0.4277,2.010,ok
hd0002,living+kitchen+bathroom,etoile,3,pavage,16,0.25,False,True,3,1.8072,True,20,1.333,0.2127,0.0000,1,8.450,3.614312,0.4277,2.185,ok
hd0002,living+kitchen+bathroom,etoile,3,pavage,16,1.00,False,True,3,1.8072,True,20,1.333,0.2127,0.0000,1,8.450,3.614312,0.4277,2.152,ok
hd0002,living+kitchen+bathroom,etoile,3,pavage,16,1.80,False,True,3,1.8072,True,20,1.333,0.2127,0.0000,1,8.450,3.614312,0.4277,2.096,ok
hd0003,living+kitchen+bathroom,etoile,3,base,,0.50,False,False,,,,20,0.667,0.1298,0.0000,2,8.714,,,2.156,invariant_viole
hd0003,living+kitchen+bathroom,etoile,3,pavage,0,0.50,False,True,3,2.1686,True,20,0.667,0.1298,0.0000,2,8.714,3.975743,0.4562,2.364,ok
hd0003,living+kitchen+bathroom,etoile,3,pavage,4,0.50,False,True,3,2.1686,True,20,0.667,0.1298,0.0000,2,8.714,3.975743,0.4562,2.283,ok
hd0003,living+kitchen+bathroom,etoile,3,pavage,8,0.50,False,True,3,2.1686,True,20,0.667,0.1298,0.0000,2,8.714,3.975743,0.4562,2.299,ok
hd0003,living+kitchen+bathroom,etoile,3,pavage,16,0.50,False,True,3,2.1686,True,20,0.667,0.1298,0.0000,2,8.714,3.975743,0.4562,2.252,ok
hd0003,living+kitchen+bathroom,etoile,3,pavage,16,0.00,False,True,3,2.1686,True,20,0.667,0.1298,0.0000,2,8.714,3.975743,0.4562,2.060,ok
hd0003,living+kitchen+bathroom,etoile,3,pavage,16,0.25,False,True,3,2.1686,True,20,0.667,0.1298,0.0000,2,8.714,3.975743,0.4562,2.065,ok
hd0003,living+kitchen+bathroom,etoile,3,pavage,16,1.00,False,True,3,2.1686,True,20,0.667,0.1298,0.0000,2,8.714,3.975743,0.4562,2.932,ok
hd0003,living+kitchen+bathroom,etoile,3,pavage,16,1.80,False,True,3,2.1686,True,20,0.667,0.1298,0.0000,2,8.714,3.975743,0.4562,2.256,ok
hd0004,living+bedroom+bathroom,plausible,3,base,,0.50,False,False,,,,12,0.000,0.0114,0.0000,3,7.651,,,1.662,invariant_viole
hd0004,living+bedroom+bathroom,plausible,3,pavage,0,0.50,False,True,3,1.4457,True,12,0.000,0.0114,0.0000,3,7.651,0.090358,0.0118,2.101,ok
hd0004,living+bedroom+bathroom,plausible,3,pavage,4,0.50,False,True,3,1.4457,True,12,0.000,0.0114,0.0000,3,7.651,0.090358,0.0118,2.083,ok
hd0004,living+bedroom+bathroom,plausible,3,pavage,8,0.50,False,True,3,1.4457,True,12,0.000,0.0114,0.0000,3,7.651,0.090358,0.0118,2.124,ok
hd0004,living+bedroom+bathroom,plausible,3,pavage,16,0.50,False,True,3,1.4457,True,12,0.000,0.0114,0.0000,3,7.651,0.090358,0.0118,3.818,ok
hd0004,living+bedroom+bathroom,plausible,3,pavage,16,0.00,False,True,3,1.4457,True,12,0.000,0.0114,0.0000,3,7.651,0.090358,0.0118,4.004,ok
hd0004,living+bedroom+bathroom,plausible,3,pavage,16,0.25,False,True,3,1.4457,True,12,0.000,0.0114,0.0000,3,7.651,0.090358,0.0118,4.510,ok
hd0004,living+bedroom+bathroom,plausible,3,pavage,16,1.00,False,True,3,1.4457,True,12,0.000,0.0114,0.0000,3,7.651,0.090358,0.0118,3.199,ok
hd0004,living+bedroom+bathroom,plausible,3,pavage,16,1.80,False,True,3,1.8000,True,12,0.000,0.0114,0.0000,3,7.651,0.444633,0.0581,4.423,ok
hd0005,living+bedroom+bathroom,plausible,3,base,,0.50,False,False,,,,25,0.667,0.4508,0.0000,2,9.792,,,2.671,invariant_viole
hd0005,living+bedroom+bathroom,plausible,3,pavage,0,0.50,False,False,,,,25,0.667,0.4508,0.0000,2,9.792,,,0.768,trame
hd0005,living+bedroom+bathroom,plausible,3,pavage,4,0.50,False,False,,,,25,0.667,0.4508,0.0000,2,9.792,,,2.401,infaisable
hd0005,living+bedroom+bathroom,plausible,3,pavage,8,0.50,False,False,,,,25,0.667,0.4508,0.0000,2,9.792,,,2.393,infaisable
hd0005,living+bedroom+bathroom,plausible,3,pavage,16,0.50,False,False,,,,25,0.667,0.4508,0.0000,2,9.792,,,2.259,infaisable
hd0005,living+bedroom+bathroom,plausible,3,pavage,16,0.00,False,True,3,0.0000,False,25,0.667,0.4508,0.0000,2,9.792,11.204366,1.1442,3.061,ok
hd0005,living+bedroom+bathroom,plausible,3,pavage,16,0.25,False,False,,,,25,0.667,0.4508,0.0000,2,9.792,,,2.650,infaisable
hd0005,living+bedroom+bathroom,plausible,3,pavage,16,1.00,False,False,,,,25,0.667,0.4508,0.0000,2,9.792,,,2.184,infaisable
hd0005,living+bedroom+bathroom,plausible,3,pavage,16,1.80,False,False,,,,25,0.667,0.4508,0.0000,2,9.792,,,2.116,infaisable
hd0006,living+bedroom+bathroom,plausible,3,base,,0.50,False,False,,,,15,0.667,0.4407,0.0000,2,9.472,,,1.622,invariant_viole
hd0006,living+bedroom+bathroom,plausible,3,pavage,0,0.50,False,False,,,,15,0.667,0.4407,0.0000,2,9.472,,,0.523,trame
hd0006,living+bedroom+bathroom,plausible,3,pavage,4,0.50,False,False,,,,15,0.667,0.4407,0.0000,2,9.472,,,2.115,infaisable
hd0006,living+bedroom+bathroom,plausible,3,pavage,8,0.50,False,False,,,,15,0.667,0.4407,0.0000,2,9.472,,,2.423,infaisable
hd0006,living+bedroom+bathroom,plausible,3,pavage,16,0.50,False,False,,,,15,0.667,0.4407,0.0000,2,9.472,,,2.217,infaisable
hd0006,living+bedroom+bathroom,plausible,3,pavage,16,0.00,False,True,3,0.0000,False,15,0.667,0.4407,0.0000,2,9.472,7.951486,0.8395,2.544,ok
hd0006,living+bedroom+bathroom,plausible,3,pavage,16,0.25,False,False,,,,15,0.667,0.4407,0.0000,2,9.472,,,2.320,infaisable
hd0006,living+bedroom+bathroom,plausible,3,pavage,16,1.00,False,False,,,,15,0.667,0.4407,0.0000,2,9.472,,,5.077,infaisable
hd0006,living+bedroom+bathroom,plausible,3,pavage,16,1.80,False,False,,,,15,0.667,0.4407,0.0000,2,9.472,,,5.147,infaisable
hd0007,living+bedroom+bathroom,plausible,3,base,,0.50,False,False,,,,12,0.000,0.3248,0.0000,3,10.015,,,2.452,invariant_viole
hd0007,living+bedroom+bathroom,plausible,3,pavage,0,0.50,False,False,,,,12,0.000,0.3248,0.0000,3,10.015,,,0.818,trame
hd0007,living+bedroom+bathroom,plausible,3,pavage,4,0.50,False,False,,,,12,0.000,0.3248,0.0000,3,10.015,,,4.061,infaisable
