plan_id,programme,graphe,n_pieces,mode,budget,largeur_min,valide_avant,valide_apres,n_pieces_apres,cote_min_apres,intact,cellules,recouvrements_avant,part_jour_avant,part_trou_avant,morceaux_avant,cote_m,deplacement_max_m,deplacement_relatif,temps_ms,statut
hd00_000,living+kitchen+bedroom+bathroom,etoile,4,base,,0.50,False,False,,,,30,0.500,0.1759,0.0000,3,10.932,,,7.277,invariant_viole
hd00_000,living+kitchen+bedroom+bathroom,etoile,4,pavage,0,0.50,False,False,,,,30,0.500,0.1759,0.0000,3,10.932,,,1.090,trame
hd00_000,living+kitchen+bedroom+bathroom,etoile,4,pavage,4,0.50,False,False,,,,30,0.500,0.1759,0.0000,3,10.932,,,3.694,infaisable
hd00_000,living+kitchen+bedroom+bathroom,etoile,4,pavage,8,0.50,False,False,,,,30,0.500,0.1759,0.0000,3,10.932,,,3.549,infaisable
hd00_000,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,0.50,False,False,,,,30,0.500,0.1759,0.0000,3,10.932,,,4.458,infaisable
hd00_000,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,0.00,False,True,4,0.0000,False,30,0.500,0.1759,0.0000,3,10.932,3.626419,0.3317,4.520,ok
hd00_000,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,0.25,False,False,,,,30,0.500,0.1759,0.0000,3,10.932,,,5.169,infaisable
hd00_000,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,1.00,False,False,,,,30,0.500,0.1759,0.0000,3,10.932,,,3.971,infaisable
hd00_000,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,1.80,False,False,,,,30,0.500,0.1759,0.0000,3,10.932,,,3.520,infaisable
hd00_001,living+kitchen+bedroom+bathroom,etoile,4,base,,0.50,False,False,,,,42,0.500,0.2309,0.0000,3,9.902,,,3.087,invariant_viole
hd00_001,living+kitchen+bedroom+bathroom,etoile,4,pavage,0,0.50,False,False,,,,42,0.500,0.2309,0.0000,3,9.902,,,1.078,trame
hd00_001,living+kitchen+bedroom+bathroom,etoile,4,pavage,4,0.50,False,True,4,0.9973,True,42,0.500,0.2309,0.0000,3,9.902,8.068782,0.8149,3.265,ok
hd00_001,living+kitchen+bedroom+bathroom,etoile,4,pavage,8,0.50,False,True,4,0.9973,True,42,0.500,0.2309,0.0000,3,9.902,8.068782,0.8149,3.362,ok
hd00_001,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,0.50,False,True,4,0.9973,True,42,0.500,0.2309,0.0000,3,9.902,8.068782,0.8149,2.761,ok
hd00_001,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,0.00,False,True,4,0.9973,True,42,0.500,0.2309,0.0000,3,9.902,8.068782,0.8149,2.928,ok
hd00_001,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,0.25,False,True,4,0.9973,True,42,0.500,0.2309,0.0000,3,9.902,8.068782,0.8149,2.771,ok
hd00_001,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,1.00,False,True,4,1.0000,True,42,0.500,0.2309,0.0000,3,9.902,8.068782,0.8149,2.726,ok
hd00_001,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,1.80,False,True,4,1.8000,True,42,0.500,0.2309,0.0000,3,9.902,8.068782,0.8149,3.246,ok
hd00_002,living+kitchen+bedroom+bathroom,etoile,4,base,,0.50,False,False,,,,42,0.000,0.3499,0.0000,4,9.223,,,1.991,invariant_viole
hd00_002,living+kitchen+bedroom+bathroom,etoile,4,pavage,0,0.50,False,False,,,,42,0.000,0.3499,0.0000,4,9.223,,,0.774,trame
hd00_002,living+kitchen+bedroom+bathroom,etoile,4,pavage,4,0.50,False,True,4,0.9973,True,42,0.000,0.3499,0.0000,4,9.223,6.618214,0.7176,3.439,ok
hd00_002,living+kitchen+bedroom+bathroom,etoile,4,pavage,8,0.50,False,True,4,0.9973,True,42,0.000,0.3499,0.0000,4,9.223,6.618214,0.7176,3.604,ok
hd00_002,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,0.50,False,True,4,0.9973,True,42,0.000,0.3499,0.0000,4,9.223,6.618214,0.7176,3.707,ok
hd00_002,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,0.00,False,True,4,0.9973,True,42,0.000,0.3499,0.0000,4,9.223,6.618214,0.7176,5.468,ok
hd00_002,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,0.25,False,True,4,0.9973,True,42,0.000,0.3499,0.0000,4,9.223,6.618214,0.7176,4.984,ok
hd00_002,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,1.00,False,True,4,1.0000,True,42,0.000,0.3499,0.0000,4,9.223,6.618214,0.7176,3.167,ok
hd00_002,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,1.80,False,True,4,1.8000,True,42,0.000,0.3499,0.0000,4,9.223,6.255572,0.6783,8.114,ok
hd00_003,living+kitchen+bedroom+bathroom,etoile,4,base,,0.50,False,False,,,,24,1.000,0.1957,0.0000,2,8.327,,,2.639,invariant_viole
hd00_003,living+kitchen+bedroom+bathroom,etoile,4,pavage,0,0.50,False,False,,,,24,1.000,0.1957,0.0000,2,8.327,,,0.801,trame
hd00_003,living+kitchen+bedroom+bathroom,etoile,4,pavage,4,0.50,False,False,,,,24,1.000,0.1957,0.0000,2,8.327,,,4.027,infaisable
hd00_003,living+kitchen+bedroom+bathroom,etoile,4,pavage,8,0.50,False,False,,,,24,1.000,0.1957,0.0000,2,8.327,,,3.489,infaisable
hd00_003,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,0.50,False,False,,,,24,1.000,0.1957,0.0000,2,8.327,,,4.598,infaisable
hd00_003,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,0.00,False,True,4,0.0000,False,24,1.000,0.1957,0.0000,2,8.327,2.538493,0.3048,2.797,ok
hd00_003,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,0.25,False,False,,,,24,1.000,0.1957,0.0000,2,8.327,,,2.592,infaisable
hd00_003,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,1.00,False,False,,,,24,1.000,0.1957,0.0000,2,8.327,,,3.791,infaisable
hd00_003,living+kitchen+bedroom+bathroom,etoile,4,pavage,16,1.80,False,False,,,,24,1.000,0.1957,0.0000,2,8.327,,,2.940,infaisable
hd00_004,living+kitchen+bedroom+bathroom,etoile,4,base,,0.50,False,False,,,,35,0.500,0.2085,0.0000,3,10.267,,,2.350,invariant_viole
hd00_004,living+kitchen+bedroom+bathroom,etoile,4,pavage,0,0.50,False,False,,,,35,0.500,0.2085,0.0000,3,10.267,,,0.650,trame
