plan_id,programme,n_pieces,mode,budget,valide_avant,valide_apres,n_pieces_apres,cellules,recouvrements_avant,part_jour_avant,part_trou_avant,morceaux_avant,cote_m,deplacement_max_m,deplacement_relatif,temps_ms,statut
hd00_000,living+kitchen+bedroom+bathroom,4,base,,False,False,,30,0.500,0.1759,0.0000,3,10.986,,,8.123,invariant_viole
hd00_000,living+kitchen+bedroom+bathroom,4,pavage,0,False,False,,30,0.500,0.1759,0.0000,3,10.986,,,1.050,trame
hd00_000,living+kitchen+bedroom+bathroom,4,pavage,4,False,True,4,30,0.500,0.1759,0.0000,3,10.986,3.917398,0.3566,4.125,ok
hd00_000,living+kitchen+bedroom+bathroom,4,pavage,8,False,True,4,30,0.500,0.1759,0.0000,3,10.986,3.917398,0.3566,2.860,ok
hd00_000,living+kitchen+bedroom+bathroom,4,pavage,16,False,True,4,30,0.500,0.1759,0.0000,3,10.986,3.917398,0.3566,2.459,ok
hd00_001,living+kitchen+bedroom+bathroom,4,base,,False,False,,36,0.500,0.2309,0.0000,3,9.950,,,1.951,invariant_viole
hd00_001,living+kitchen+bedroom+bathroom,4,pavage,0,False,False,,36,0.500,0.2309,0.0000,3,9.950,,,0.632,trame
hd00_001,living+kitchen+bedroom+bathroom,4,pavage,4,False,True,4,36,0.500,0.2309,0.0000,3,9.950,8.108104,0.8149,2.654,ok
hd00_001,living+kitchen+bedroom+bathroom,4,pavage,8,False,True,4,36,0.500,0.2309,0.0000,3,9.950,8.108104,0.8149,2.712,ok
hd00_001,living+kitchen+bedroom+bathroom,4,pavage,16,False,True,4,36,0.500,0.2309,0.0000,3,9.950,8.108104,0.8149,3.009,ok
hd00_002,living+kitchen+bedroom+bathroom,4,base,,False,False,,42,0.000,0.3499,0.0000,4,9.268,,,2.597,invariant_viole
hd00_002,living+kitchen+bedroom+bathroom,4,pavage,0,False,False,,42,0.000,0.3499,0.0000,4,9.268,,,0.709,trame
hd00_002,living+kitchen+bedroom+bathroom,4,pavage,4,False,True,4,42,0.000,0.3499,0.0000,4,9.268,6.650467,0.7176,3.097,ok
hd00_002,living+kitchen+bedroom+bathroom,4,pavage,8,False,True,4,42,0.000,0.3499,0.0000,4,9.268,6.650467,0.7176,2.735,ok
hd00_002,living+kitchen+bedroom+bathroom,4,pavage,16,False,True,4,42,0.000,0.3499,0.0000,4,9.268,6.650467,0.7176,2.853,ok
hd00_003,living+kitchen+bedroom+bathroom,4,base,,False,False,,24,1.000,0.1957,0.0000,2,8.368,,,2.195,invariant_viole
hd00_003,living+kitchen+bedroom+bathroom,4,pavage,0,False,False,,24,1.000,0.1957,0.0000,2,8.368,,,0.679,trame
hd00_003,living+kitchen+bedroom+bathroom,4,pavage,4,False,True,4,24,1.000,0.1957,0.0000,2,8.368,3.188580,0.3810,2.857,ok
hd00_003,living+kitchen+bedroom+bathroom,4,pavage,8,False,True,4,24,1.000,0.1957,0.0000,2,8.368,3.188580,0.3810,3.049,ok
hd00_003,living+kitchen+bedroom+bathroom,4,pavage,16,False,True,4,24,1.000,0.1957,0.0000,2,8.368,3.188580,0.3810,3.580,ok
hd00_004,living+kitchen+bedroom+bathroom,4,base,,False,False,,35,0.500,0.2085,0.0000,3,10.317,,,1.895,invariant_viole
hd00_004,living+kitchen+bedroom+bathroom,4,pavage,0,False,False,,35,0.500,0.2085,0.0000,3,10.317,,,0.595,trame
hd00_004,living+kitchen+bedroom+bathroom,4,pavage,4,False,False,,35,0.500,0.2085,0.0000,3,10.317,,,0.710,trame
hd00_004,living+kitchen+bedroom+bathroom,4,pavage,8,False,False,,35,0.500,0.2085,0.0000,3,10.317,,,2.701,infaisable
hd00_004,living+kitchen+bedroom+bathroom,4,pavage,16,False,False,,35,0.500,0.2085,0.0000,3,10.317,,,2.714,infaisable
hd00_005,living+kitchen+bedroom+bathroom,4,base,,False,False,,42,0.500,0.4625,0.0000,3,10.437,,,1.684,invariant_viole
hd00_005,living+kitchen+bedroom+bathroom,4,pavage,0,False,False,,42,0.500,0.4625,0.0000,3,10.437,,,0.593,trame
hd00_005,living+kitchen+bedroom+bathroom,4,pavage,4,False,True,4,42,0.500,0.4625,0.0000,3,10.437,5.557240,0.5325,2.613,ok
hd00_005,living+kitchen+bedroom+bathroom,4,pavage,8,False,True,4,42,0.500,0.4625,0.0000,3,10.437,5.557240,0.5325,3.563,ok
hd00_005,living+kitchen+bedroom+bathroom,4,pavage,16,False,True,4,42,0.500,0.4625,0.0000,3,10.437,5.557240,0.5325,4.648,ok
hd01_000,living+kitchen+bedroom+bedroom+bathroom,5,base,,False,False,,56,0.800,0.3884,0.0000,3,11.794,,,2.890,invariant_viole
hd01_000,living+kitchen+bedroom+bedroom+bathroom,5,pavage,0,False,False,,56,0.800,0.3884,0.0000,3,11.794,,,0.709,trame
hd01_000,living+kitchen+bedroom+bedroom+bathroom,5,pavage,4,False,False,,56,0.800,0.3884,0.0000,3,11.794,,,0.880,trame
hd01_000,living+kitchen+bedroom+bedroom+bathroom,5,pavage,8,False,False,,56,0.800,0.3884,0.0000,3,11.794,,,0.898,trame
hd01_000,living+kitchen+bedroom+bedroom+bathroom,5,pavage,16,False,False,,56,0.800,0.3884,0.0000,3,11.794,,,0.863,trame
hd01_001,living+kitchen+bedroom+bedroom+bathroom,5,base,,False,False,,56,0.800,0.2479,0.0000,3,11.884,,,3.911,invariant_viole
hd01_001,living+kitchen+bedroom+bedroom+bathroom,5,pavage,0,False,False,,56,0.800,0.2479,0.0000,3,11.884,,,0.917,trame
hd01_001,living+kitchen+bedroom+bedroom+bathroom,5,pavage,4,False,True,5,56,0.800,0.2479,0.0000,3,11.884,6.923774,0.5826,5.812,ok
hd01_001,living+kitchen+bedroom+bedroom+bathroom,5,pavage,8,False,True,5,56,0.800,0.2479,0.0000,3,11.884,6.923774,0.5826,4.999,ok
hd01_001,living+kitchen+bedroom+bedroom+bathroom,5,pavage,16,False,True,5,56,0.800,0.2479,0.0000,3,11.884,6.923774,0.5826,3.254,ok
hd01_002,living+kitchen+bedroom+bedroom+bathroom,5,base,,False,False,,56,0.400,0.2785,0.0000,4,8.585,,,2.923,invariant_viole
hd01_002,living+kitchen+bedroom+bedroom+bathroom,5,pavage,0,False,False,,56,0.400,0.2785,0.0000,4,8.585,,,0.822,trame
hd01_002,living+kitchen+bedroom+bedroom+bathroom,5,pavage,4,False,True,5,56,0.400,0.2785,0.0000,4,8.585,5.830546,0.6791,3.791,ok
hd01_002,living+kitchen+bedroom+bedroom+bathroom,5,pavage,8,False,True,5,56,0.400,0.2785,0.0000,4,8.585,5.830546,0.6791,4.174,ok
hd01_002,living+kitchen+bedroom+bedroom+bathroom,5,pavage,16,False,True,5,56,0.400,0.2785,0.0000,4,8.585,5.830546,0.6791,3.869,ok
hd01_003,living+kitchen+bedroom+bedroom+bathroom,5,base,,False,False,,56,0.400,0.2994,0.0000,4,11.200,,,3.212,invariant_viole
hd01_003,living+kitchen+bedroom+bedroom+bathroom,5,pavage,0,False,False,,56,0.400,0.2994,0.0000,4,11.200,,,0.736,trame
hd01_003,living+kitchen+bedroom+bedroom+bathroom,5,pavage,4,False,False,,56,0.400,0.2994,0.0000,4,11.200,,,0.861,trame
hd01_003,living+kitchen+bedroom+bedroom+bathroom,5,pavage,8,False,False,,56,0.400,0.2994,0.0000,4,11.200,,,0.860,trame
hd01_003,living+kitchen+bedroom+bedroom+bathroom,5,pavage,16,False,False,,56,0.400,0.2994,0.0000,4,11.200,,,1.023,trame
hd01_004,living+kitchen+bedroom+bedroom+bathroom,5,base,,False,False,,54,0.000,0.3920,0.0000,5,9.353,,,2.377,invariant_viole
hd01_004,living+kitchen+bedroom+bedroom+bathroom,5,pavage,0,False,False,,54,0.000,0.3920,0.0000,5,9.353,,,0.669,trame
hd01_004,living+kitchen+bedroom+bedroom+bathroom,5,pavage,4,False,False,,54,0.000,0.3920,0.0000,5,9.353,,,1.400,trame
hd01_004,living+kitchen+bedroom+bedroom+bathroom,5,pavage,8,False,True,5,54,0.000,0.3920,0.0000,5,9.353,6.194956,0.6623,3.431,ok
hd01_004,living+kitchen+bedroom+bedroom+bathroom,5,pavage,16,False,True,5,54,0.000,0.3920,0.0000,5,9.353,6.194956,0.6623,3.734,ok
hd01_005,living+kitchen+bedroom+bedroom+bathroom,5,base,,False,False,,72,0.400,0.2811,0.0000,4,9.550,,,2.734,invariant_viole
hd01_005,living+kitchen+bedroom+bedroom+bathroom,5,pavage,0,False,False,,72,0.400,0.2811,0.0000,4,9.550,,,0.877,trame
hd01_005,living+kitchen+bedroom+bedroom+bathroom,5,pavage,4,False,False,,72,0.400,0.2811,0.0000,4,9.550,,,1.046,trame
hd01_005,living+kitchen+bedroom+bedroom+bathroom,5,pavage,8,False,True,5,72,0.400,0.2811,0.0000,4,9.550,8.017001,0.8395,3.638,ok
hd01_005,living+kitchen+bedroom+bedroom+bathroom,5,pavage,16,False,True,5,72,0.400,0.2811,0.0000,4,9.550,8.017001,0.8395,3.748,ok
hd02_000,living+kitchen+bedroom+bathroom+hallway,5,base,,False,False,,48,0.800,0.2614,0.0000,3,10.246,,,2.686,invariant_viole
hd02_000,living+kitchen+bedroom+bathroom+hallway,5,pavage,0,False,False,,48,0.800,0.2614,0.0000,3,10.246,,,1.373,trame
hd02_000,living+kitchen+bedroom+bathroom+hallway,5,pavage,4,False,True,5,48,0.800,0.2614,0.0000,3,10.246,6.559365,0.6402,4.858,ok
hd02_000,living+kitchen+bedroom+bathroom+hallway,5,pavage,8,False,True,5,48,0.800,0.2614,0.0000,3,10.246,6.559365,0.6402,5.792,ok
hd02_000,living+kitchen+bedroom+bathroom+hallway,5,pavage,16,False,True,5,48,0.800,0.2614,0.0000,3,10.246,6.559365,0.6402,3.598,ok
hd02_001,living+kitchen+bedroom+bathroom+hallway,5,base,,False,False,,48,0.400,0.2450,0.0000,4,10.420,,,2.835,invariant_viole
hd02_001,living+kitchen+bedroom+bathroom+hallway,5,pavage,0,False,False,,48,0.400,0.2450,0.0000,4,10.420,,,0.772,trame
hd02_001,living+kitchen+bedroom+bathroom+hallway,5,pavage,4,False,False,,48,0.400,0.2450,0.0000,4,10.420,,,0.916,trame
hd02_001,living+kitchen+bedroom+bathroom+hallway,5,pavage,8,False,True,5,48,0.400,0.2450,0.0000,4,10.420,5.101728,0.4896,3.243,ok
hd02_001,living+kitchen+bedroom+bathroom+hallway,5,pavage,16,False,True,5,48,0.400,0.2450,0.0000,4,10.420,5.101728,0.4896,3.202,ok
hd02_002,living+kitchen+bedroom+bathroom+hallway,5,base,,False,False,,48,0.800,0.2398,0.0000,3,10.063,,,3.208,invariant_viole
hd02_002,living+kitchen+bedroom+bathroom+hallway,5,pavage,0,False,False,,48,0.800,0.2398,0.0000,3,10.063,,,0.781,trame
hd02_002,living+kitchen+bedroom+bathroom+hallway,5,pavage,4,False,False,,48,0.800,0.2398,0.0000,3,10.063,,,1.011,trame
hd02_002,living+kitchen+bedroom+bathroom+hallway,5,pavage,8,False,False,,48,0.800,0.2398,0.0000,3,10.063,,,1.020,trame
hd02_002,living+kitchen+bedroom+bathroom+hallway,5,pavage,16,False,False,,48,0.800,0.2398,0.0000,3,10.063,,,1.089,trame
hd02_003,living+kitchen+bedroom+bathroom+hallway,5,base,,False,False,,81,1.200,0.1581,0.0000,2,9.500,,,3.542,invariant_viole
hd02_003,living+kitchen+bedroom+bathroom+hallway,5,pavage,0,False,False,,81,1.200,0.1581,0.0000,2,9.500,,,1.088,trame
hd02_003,living+kitchen+bedroom+bathroom+hallway,5,pavage,4,False,False,,81,1.200,0.1581,0.0000,2,9.500,,,1.210,trame
hd02_003,living+kitchen+bedroom+bathroom+hallway,5,pavage,8,False,False,,81,1.200,0.1581,0.0000,2,9.500,,,1.256,trame
hd02_003,living+kitchen+bedroom+bathroom+hallway,5,pavage,16,False,False,,81,1.200,0.1581,0.0000,2,9.500,,,1.540,trame
hd02_004,living+kitchen+bedroom+bathroom+hallway,5,base,,False,False,,64,0.400,0.2500,0.0000,4,9.848,,,2.690,invariant_viole
hd02_004,living+kitchen+bedroom+bathroom+hallway,5,pavage,0,False,False,,64,0.400,0.2500,0.0000,4,9.848,,,1.416,trame
hd02_004,living+kitchen+bedroom+bathroom+hallway,5,pavage,4,False,False,,64,0.400,0.2500,0.0000,4,9.848,,,1.794,trame
hd02_004,living+kitchen+bedroom+bathroom+hallway,5,pavage,8,False,True,5,64,0.400,0.2500,0.0000,4,9.848,5.101728,0.5181,3.636,ok
hd02_004,living+kitchen+bedroom+bathroom+hallway,5,pavage,16,False,True,5,64,0.400,0.2500,0.0000,4,9.848,5.101728,0.5181,4.605,ok
hd02_005,living+kitchen+bedroom+bathroom+hallway,5,base,,False,False,,40,0.400,0.1514,0.0000,4,11.055,,,2.835,invariant_viole
hd02_005,living+kitchen+bedroom+bathroom+hallway,5,pavage,0,False,False,,40,0.400,0.1514,0.0000,4,11.055,,,0.791,trame
hd02_005,living+kitchen+bedroom+bathroom+hallway,5,pavage,4,False,False,,40,0.400,0.1514,0.0000,4,11.055,,,1.114,trame
hd02_005,living+kitchen+bedroom+bathroom+hallway,5,pavage,8,False,True,5,40,0.400,0.1514,0.0000,4,11.055,3.644092,0.3296,3.359,ok
hd02_005,living+kitchen+bedroom+bathroom+hallway,5,pavage,16,False,True,5,40,0.400,0.1514,0.0000,4,11.055,3.644092,0.3296,3.494,ok
hd03_000,living+kitchen+bedroom+bedroom+bathroom+hallway,6,base,,False,False,,72,1.000,0.3490,0.0000,3,10.911,,,3.307,invariant_viole
hd03_000,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,0,False,False,,72,1.000,0.3490,0.0000,3,10.911,,,0.854,trame
hd03_000,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,4,False,False,,72,1.000,0.3490,0.0000,3,10.911,,,1.171,trame
hd03_000,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,8,False,False,,72,1.000,0.3490,0.0000,3,10.911,,,1.984,trame
hd03_000,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,16,False,False,,72,1.000,0.3490,0.0000,3,10.911,,,2.079,trame
hd03_001,living+kitchen+bedroom+bedroom+bathroom+hallway,6,base,,False,False,,77,1.000,0.1888,0.0000,3,10.729,,,2.932,invariant_viole
hd03_001,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,0,False,False,,77,1.000,0.1888,0.0000,3,10.729,,,0.911,trame
hd03_001,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,4,False,False,,77,1.000,0.1888,0.0000,3,10.729,,,1.275,trame
hd03_001,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,8,False,False,,77,1.000,0.1888,0.0000,3,10.729,,,1.492,trame
hd03_001,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,16,False,False,,77,1.000,0.1888,0.0000,3,10.729,,,1.423,trame
hd03_002,living+kitchen+bedroom+bedroom+bathroom+hallway,6,base,,False,False,,90,0.667,0.3629,0.0000,4,10.986,,,2.970,invariant_viole
hd03_002,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,0,False,False,,90,0.667,0.3629,0.0000,4,10.986,,,0.709,trame
hd03_002,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,4,False,True,6,90,0.667,0.3629,0.0000,4,10.986,5.466137,0.4976,3.371,ok
hd03_002,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,8,False,True,6,90,0.667,0.3629,0.0000,4,10.986,5.466137,0.4976,4.638,ok
hd03_002,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,16,False,True,6,90,0.667,0.3629,0.0000,4,10.986,5.466137,0.4976,3.363,ok
hd03_003,living+kitchen+bedroom+bedroom+bathroom+hallway,6,base,,False,False,,48,0.667,0.4743,0.0000,4,10.835,,,2.453,invariant_viole
hd03_003,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,0,False,False,,48,0.667,0.4743,0.0000,4,10.835,,,0.696,trame
hd03_003,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,4,False,False,,48,0.667,0.4743,0.0000,4,10.835,,,0.968,trame
hd03_003,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,8,False,True,6,48,0.667,0.4743,0.0000,4,10.835,6.923774,0.6390,4.279,ok
hd03_003,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,16,False,True,6,48,0.667,0.4743,0.0000,4,10.835,6.923774,0.6390,3.445,ok
hd03_004,living+kitchen+bedroom+bedroom+bathroom+hallway,6,base,,False,False,,48,0.667,0.1661,0.0000,4,10.981,,,2.430,invariant_viole
hd03_004,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,0,False,False,,48,0.667,0.1661,0.0000,4,10.981,,,0.693,trame
hd03_004,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,4,False,True,6,48,0.667,0.1661,0.0000,4,10.981,2.277557,0.2074,3.032,ok
hd03_004,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,8,False,True,6,48,0.667,0.1661,0.0000,4,10.981,2.277557,0.2074,3.870,ok
hd03_004,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,16,False,True,6,48,0.667,0.1661,0.0000,4,10.981,2.277557,0.2074,3.005,ok
hd03_005,living+kitchen+bedroom+bedroom+bathroom+hallway,6,base,,False,False,,72,1.000,0.2393,0.0000,3,10.451,,,2.264,invariant_viole
hd03_005,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,0,False,False,,72,1.000,0.2393,0.0000,3,10.451,,,0.686,trame
hd03_005,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,4,False,False,,72,1.000,0.2393,0.0000,3,10.451,,,1.149,trame
hd03_005,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,8,False,False,,72,1.000,0.2393,0.0000,3,10.451,,,1.132,trame
hd03_005,living+kitchen+bedroom+bedroom+bathroom+hallway,6,pavage,16,False,False,,72,1.000,0.2393,0.0000,3,10.451,,,1.075,trame
hd04_000,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,base,,False,False,,132,1.429,0.3927,0.0000,2,13.752,,,3.113,invariant_viole
hd04_000,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,0,False,False,,132,1.429,0.3927,0.0000,2,13.752,,,0.851,trame
hd04_000,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,4,False,False,,132,1.429,0.3927,0.0000,2,13.752,,,1.056,trame
hd04_000,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,8,False,True,7,132,1.429,0.3927,0.0000,2,13.752,11.296684,0.8215,5.577,ok
hd04_000,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,16,False,True,7,132,1.429,0.3927,0.0000,2,13.752,11.296684,0.8215,4.646,ok
hd04_001,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,base,,False,False,,90,1.143,0.2081,0.0000,4,9.522,,,4.134,invariant_viole
hd04_001,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,0,False,False,,90,1.143,0.2081,0.0000,4,9.522,,,2.188,trame
hd04_001,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,4,False,False,,90,1.143,0.2081,0.0000,4,9.522,,,1.466,trame
hd04_001,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,8,False,False,,90,1.143,0.2081,0.0000,4,9.522,,,1.930,trame
hd04_001,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,16,False,False,,90,1.143,0.2081,0.0000,4,9.522,,,2.606,trame
hd04_002,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,base,,False,False,,121,1.143,0.2600,0.0000,3,10.384,,,4.850,invariant_viole
hd04_002,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,0,False,False,,121,1.143,0.2600,0.0000,3,10.384,,,1.016,trame
hd04_002,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,4,False,False,,121,1.143,0.2600,0.0000,3,10.384,,,1.380,trame
hd04_002,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,8,False,False,,121,1.143,0.2600,0.0000,3,10.384,,,1.552,trame
hd04_002,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,16,False,False,,121,1.143,0.2600,0.0000,3,10.384,,,1.633,trame
hd04_003,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,base,,False,False,,80,2.000,0.1866,0.0028,1,9.947,,,3.805,invariant_viole
hd04_003,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,0,False,False,,80,2.000,0.1866,0.0028,1,9.947,,,0.748,trame
hd04_003,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,4,False,False,,80,2.000,0.1866,0.0028,1,9.947,,,1.622,trame
hd04_003,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,8,False,False,,80,2.000,0.1866,0.0028,1,9.947,,,1.533,trame
hd04_003,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,16,False,False,,80,2.000,0.1866,0.0028,1,9.947,,,1.524,trame
hd04_004,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,base,,False,False,,90,1.714,0.2957,0.0000,2,10.537,,,3.494,invariant_viole
hd04_004,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,0,False,False,,90,1.714,0.2957,0.0000,2,10.537,,,1.144,trame
hd04_004,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,4,False,False,,90,1.714,0.2957,0.0000,2,10.537,,,1.828,trame
hd04_004,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,8,False,True,7,90,1.714,0.2957,0.0000,2,10.537,4.008501,0.3804,4.559,ok
hd04_004,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,16,False,True,7,90,1.714,0.2957,0.0000,2,10.537,4.008501,0.3804,4.547,ok
hd04_005,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,base,,False,False,,108,2.000,0.3262,0.0000,1,11.804,,,2.788,invariant_viole
hd04_005,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,0,False,False,,108,2.000,0.3262,0.0000,1,11.804,,,0.841,trame
hd04_005,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,4,False,False,,108,2.000,0.3262,0.0000,1,11.804,,,1.164,trame
hd04_005,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,8,False,False,,108,2.000,0.3262,0.0000,1,11.804,,,1.465,trame
hd04_005,living+kitchen+bedroom+bedroom+bedroom+bathroom+hallway,7,pavage,16,False,False,,108,2.000,0.3262,0.0000,1,11.804,,,4.589,infaisable
hd05_000,living+kitchen+bedroom+bedroom+bathroom+bathroom+hallway,7,base,,False,False,,90,1.429,0.0711,0.0000,3,10.007,,,3.394,invariant_viole
hd05_000,living+kitchen+bedroom+bedroom+bathroom+bathroom+hallway,7,pavage,0,False,False,,90,1.429,0.0711,0.0000,3,10.007,,,1.121,trame
hd05_000,living+kitchen+bedroom+bedroom+bathroom+bathroom+hallway,7,pavage,4,False,False,,90,1.429,0.0711,0.0000,3,10.007,,,1.432,trame
hd05_000,living+kitchen+bedroom+bedroom+bathroom+bathroom+hallway,7,pavage,8,False,False,,90,1.429,0.0711,0.0000,3,10.007,,,1.820,trame
hd05_000,living+kitchen+bedroom+bedroom+bathroom+bathroom+hallway,7,pavage,16,False,False,,90,1.429,0.0711,0.0000,3,10.007,,,1.566,trame
hd05_001,living+kitchen+bedroom+bedroom+bathroom+bathroom+hallway,7,base,,False,False,,90,1.429,0.2924,0.0000,4,10.469,,,3.066,invariant_viole
hd05_001,living+kitchen+bedroom+bedroom+bathroom+bathroom+hallway,7,pavage,0,False,False,,90,1.429,0.2924,0.0000,4,10.469,,,0.739,trame
hd05_001,living+kitchen+bedroom+bedroom+bathroom+bathroom+hallway,7,pavage,4,False,False,,90,1.429,0.2924,0.0000,4,10.469,,,1.095,trame
hd05_001,living+kitchen+bedroom+bedroom+bathroom+bathroom+hallway,7,pavage,8,False,True,7,90,1.429,0.2924,0.0000,4,10.469,3.644092,0.3481,6.779,ok
hd05_001,living+kitchen+bedroom+bedroom+bathroom+bathroom+hallway,7,pavage,16,False,True,7,90,1.429,0.2924,0.0000,4,10.469,3.644092,0.3481,6.124,ok
