plan_id,programme,n_pieces,mode,budget,valide_avant,valide_apres,n_pieces_apres,cellules,recouvrements_avant,part_jour_avant,part_trou_avant,morceaux_avant,cote_m,deplacement_max_m,deplacement_relatif,temps_ms,statut
hd00_000,living+kitchen+bedroom+bathroom,4,base,,False,False,,30,0.500,0.1759,0.0000,3,10.986,,,36.893,invariant_viole
hd00_000,living+kitchen+bedroom+bathroom,4,pavage,0,False,False,,30,0.500,0.1759,0.0000,3,10.986,,,1.647,trame
hd00_000,living+kitchen+bedroom+bathroom,4,pavage,4,False,True,4,30,0.500,0.1759,0.0000,3,10.986,3.917398,0.3566,3.624,ok
hd00_000,living+kitchen+bedroom+bathroom,4,pavage,8,False,True,4,30,0.500,0.1759,0.0000,3,10.986,3.917398,0.3566,4.672,ok
hd00_000,living+kitchen+bedroom+bathroom,4,pavage,16,False,True,4,30,0.500,0.1759,0.0000,3,10.986,3.917398,0.3566,3.620,ok
hd00_001,living+kitchen+bedroom+bathroom,4,base,,False,False,,36,0.500,0.2309,0.0000,3,9.950,,,2.001,invariant_viole
hd00_001,living+kitchen+bedroom+bathroom,4,pavage,0,False,False,,36,0.500,0.2309,0.0000,3,9.950,,,0.632,trame
hd00_001,living+kitchen+bedroom+bathroom,4,pavage,4,False,True,4,36,0.500,0.2309,0.0000,3,9.950,8.108104,0.8149,3.159,ok
hd00_001,living+kitchen+bedroom+bathroom,4,pavage,8,False,True,4,36,0.500,0.2309,0.0000,3,9.950,8.108104,0.8149,3.716,ok
hd00_001,living+kitchen+bedroom+bathroom,4,pavage,16,False,True,4,36,0.500,0.2309,0.0000,3,9.950,8.108104,0.8149,3.509,ok
hd00_002,living+kitchen+bedroom+bathroom,4,base,,False,False,,42,0.000,0.3499,0.0000,4,9.268,,,2.289,invariant_viole
hd00_002,living+kitchen+bedroom+bathroom,4,pavage,0,False,False,,42,0.000,0.3499,0.0000,4,9.268,,,0.765,trame
hd00_002,living+kitchen+bedroom+bathroom,4,pavage,4,False,True,4,42,0.000,0.3499,0.0000,4,9.268,6.650467,0.7176,2.631,ok
hd00_002,living+kitchen+bedroom+bathroom,4,pavage,8,False,True,4,42,0.000,0.3499,0.0000,4,9.268,6.650467,0.7176,3.110,ok
hd00_002,living+kitchen+bedroom+bathroom,4,pavage,16,False,True,4,42,0.000,0.3499,0.0000,4,9.268,6.650467,0.7176,3.273,ok
hd00_003,living+kitchen+bedroom+bathroom,4,base,,False,False,,24,1.000,0.1957,0.0000,2,8.368,,,3.250,invariant_viole
hd00_003,living+kitchen+bedroom+bathroom,4,pavage,0,False,False,,24,1.000,0.1957,0.0000,2,8.368,,,0.882,trame
hd00_003,living+kitchen+bedroom+bathroom,4,pavage,4,False,True,4,24,1.000,0.1957,0.0000,2,8.368,3.188580,0.3810,3.213,ok
hd00_003,living+kitchen+bedroom+bathroom,4,pavage,8,False,True,4,24,1.000,0.1957,0.0000,2,8.368,3.188580,0.3810,2.802,ok
hd00_003,living+kitchen+bedroom+bathroom,4,pavage,16,False,True,4,24,1.000,0.1957,0.0000,2,8.368,3.188580,0.3810,2.601,ok
hd00_004,living+kitchen+bedroom+bathroom,4,base,,False,False,,35,0.500,0.2085,0.0000,3,10.317,,,2.119,invariant_viole
hd00_004,living+kitchen+bedroom+bathroom,4,pavage,0,False,False,,35,0.500,0.2085,0.0000,3,10.317,,,0.672,trame
hd00_004,living+kitchen+bedroom+bathroom,4,pavage,4,False,False,,35,0.500,0.2085,0.0000,3,10.317,,,0.767,trame
hd00_004,living+kitchen+bedroom+bathroom,4,pavage,8,False,False,,35,0.500,0.2085,0.0000,3,10.317,,,3.086,infaisable
hd00_004,living+kitchen+bedroom+bathroom,4,pavage,16,False,False,,35,0.500,0.2085,0.0000,3,10.317,,,2.959,infaisable
hd00_005,living+kitchen+bedroom+bathroom,4,base,,False,False,,42,0.500,0.4625,0.0000,3,10.437,,,2.029,invariant_viole
hd00_005,living+kitchen+bedroom+bathroom,4,pavage,0,False,False,,42,0.500,0.4625,0.0000,3,10.437,,,0.742,trame
hd00_005,living+kitchen+bedroom+bathroom,4,pavage,4,False,True,4,42,0.500,0.4625,0.0000,3,10.437,5.557240,0.5325,7.194,ok
hd00_005,living+kitchen+bedroom+bathroom,4,pavage,8,False,True,4,42,0.500,0.4625,0.0000,3,10.437,5.557240,0.5325,3.396,ok
hd00_005,living+kitchen+bedroom+bathroom,4,pavage,16,False,True,4,42,0.500,0.4625,0.0000,3,10.437,5.557240,0.5325,3.237,ok
hd01_000,living+kitchen+bedroom+bedroom+bathroom,5,base,,False,False,,56,0.800,0.3884,0.0000,3,11.794,,,3.006,invariant_viole
hd01_000,living+kitchen+bedroom+bedroom+bathroom,5,pavage,0,False,False,,56,0.800,0.3884,0.0000,3,11.794,,,1.092,trame
hd01_000,living+kitchen+bedroom+bedroom+bathroom,5,pavage,4,False,False,,56,0.800,0.3884,0.0000,3,11.794,,,1.117,trame
hd01_000,living+kitchen+bedroom+bedroom+bathroom,5,pavage,8,False,False,,56,0.800,0.3884,0.0000,3,11.794,,,1.020,trame
hd01_000,living+kitchen+bedroom+bedroom+bathroom,5,pavage,16,False,False,,56,0.800,0.3884,0.0000,3,11.794,,,0.972,trame
hd01_001,living+kitchen+bedroom+bedroom+bathroom,5,base,,False,False,,56,0.800,0.2479,0.0000,3,11.884,,,3.814,invariant_viole
hd01_001,living+kitchen+bedroom+bedroom+bathroom,5,pavage,0,False,False,,56,0.800,0.2479,0.0000,3,11.884,,,0.979,trame
hd01_001,living+kitchen+bedroom+bedroom+bathroom,5,pavage,4,False,True,5,56,0.800,0.2479,0.0000,3,11.884,6.923774,0.5826,4.295,ok
hd01_001,living+kitchen+bedroom+bedroom+bathroom,5,pavage,8,False,True,5,56,0.800,0.2479,0.0000,3,11.884,6.923774,0.5826,3.978,ok
hd01_001,living+kitchen+bedroom+bedroom+bathroom,5,pavage,16,False,True,5,56,0.800,0.2479,0.0000,3,11.884,6.923774,0.5826,4.579,ok
hd01_002,living+kitchen+bedroom+bedroom+bathroom,5,base,,False,False,,56,0.400,0.2785,0.0000,4,8.585,,,3.199,invariant_viole
hd01_002,living+kitchen+bedroom+bedroom+bathroom,5,pavage,0,False,False,,56,0.400,0.2785,0.0000,4,8.585,,,1.023,trame
hd01_002,living+kitchen+bedroom+bedroom+bathroom,5,pavage,4,False,True,5,56,0.400,0.2785,0.0000,4,8.585,5.830546,0.6791,4.020,ok
hd01_002,living+kitchen+bedroom+bedroom+bathroom,5,pavage,8,False,True,5,56,0.400,0.2785,0.0000,4,8.585,5.830546,0.6791,3.339,ok
hd01_002,living+kitchen+bedroom+bedroom+bathroom,5,pavage,16,False,True,5,56,0.400,0.2785,0.0000,4,8.585,5.830546,0.6791,3.126,ok
hd01_003,living+kitchen+bedroom+bedroom+bathroom,5,base,,False,False,,56,0.400,0.2994,0.0000,4,11.200,,,2.392,invariant_viole
hd01_003,living+kitchen+bedroom+bedroom+bathroom,5,pavage,0,False,False,,56,0.400,0.2994,0.0000,4,11.200,,,0.786,trame
hd01_003,living+kitchen+bedroom+bedroom+bathroom,5,pavage,4,False,False,,56,0.400,0.2994,0.0000,4,11.200,,,1.288,trame
hd01_003,living+kitchen+bedroom+bedroom+bathroom,5,pavage,8,False,False,,56,0.400,0.2994,0.0000,4,11.200,,,0.876,trame
hd01_003,living+kitchen+bedroom+bedroom+bathroom,5,pavage,16,False,False,,56,0.400,0.2994,0.0000,4,11.200,,,1.304,trame
hd01_004,living+kitchen+bedroom+bedroom+bathroom,5,base,,False,False,,54,0.000,0.3920,0.0000,5,9.353,,,2.265,invariant_viole
hd01_004,living+kitchen+bedroom+bedroom+bathroom,5,pavage,0,False,False,,54,0.000,0.3920,0.0000,5,9.353,,,0.651,trame
hd01_004,living+kitchen+bedroom+bedroom+bathroom,5,pavage,4,False,False,,54,0.000,0.3920,0.0000,5,9.353,,,0.888,trame
hd01_004,living+kitchen+bedroom+bedroom+bathroom,5,pavage,8,False,True,5,54,0.000,0.3920,0.0000,5,9.353,6.194956,0.6623,3.913,ok
hd01_004,living+kitchen+bedroom+bedroom+bathroom,5,pavage,16,False,True,5,54,0.000,0.3920,0.0000,5,9.353,6.194956,0.6623,4.865,ok
hd01_005,living+kitchen+bedroom+bedroom+bathroom,5,base,,False,False,,72,0.400,0.2811,0.0000,4,9.550,,,2.125,invariant_viole
hd01_005,living+kitchen+bedroom+bedroom+bathroom,5,pavage,0,False,False,,72,0.400,0.2811,0.0000,4,9.550,,,0.672,trame
hd01_005,living+kitchen+bedroom+bedroom+bathroom,5,pavage,4,False,False,,72,0.400,0.2811,0.0000,4,9.550,,,0.889,trame
hd01_005,living+kitchen+bedroom+bedroom+bathroom,5,pavage,8,False,True,5,72,0.400,0.2811,0.0000,4,9.550,8.017001,0.8395,3.456,ok
hd01_005,living+kitchen+bedroom+bedroom+bathroom,5,pavage,16,False,True,5,72,0.400,0.2811,0.0000,4,9.550,8.017001,0.8395,3.690,ok
hd02_000,living+kitchen+bedroom+bathroom+hallway,5,base,,False,False,,48,0.800,0.2614,0.0000,3,10.246,,,3.192,invariant_viole
hd02_000,living+kitchen+bedroom+bathroom+hallway,5,pavage,0,False,False,,48,0.800,0.2614,0.0000,3,10.246,,,0.868,trame
hd02_000,living+kitchen+bedroom+bathroom+hallway,5,pavage,4,False,True,5,48,0.800,0.2614,0.0000,3,10.246,6.559365,0.6402,3.761,ok
hd02_000,living+kitchen+bedroom+bathroom+hallway,5,pavage,8,False,True,5,48,0.800,0.2614,0.0000,3,10.246,6.559365,0.6402,3.864,ok
hd02_000,living+kitchen+bedroom+bathroom+hallway,5,pavage,16,False,True,5,48,0.800,0.2614,0.0000,3,10.246,6.559365,0.6402,3.595,ok
hd02_001,living+kitchen+bedroom+bathroom+hallway,5,base,,False,False,,48,0.400,0.2450,0.0000,4,10.420,,,2.279,invariant_viole
hd02_001,living+kitchen+bedroom+bathroom+hallway,5,pavage,0,False,False,,48,0.400,0.2450,0.0000,4,10.420,,,0.820,trame
hd02_001,living+kitchen+bedroom+bathroom+hallway,5,pavage,4,False,False,,48,0.400,0.2450,0.0000,4,10.420,,,0.866,trame
hd02_001,living+kitchen+bedroom+bathroom+hallway,5,pavage,8,False,True,5,48,0.400,0.2450,0.0000,4,10.420,5.101728,0.4896,2.925,ok
hd02_001,living+kitchen+bedroom+bathroom+hallway,5,pavage,16,False,True,5,48,0.400,0.2450,0.0000,4,10.420,5.101728,0.4896,3.191,ok
hd02_002,living+kitchen+bedroom+bathroom+hallway,5,base,,False,False,,48,0.800,0.2398,0.0000,3,10.063,,,2.222,invariant_viole
hd02_002,living+kitchen+bedroom+bathroom+hallway,5,pavage,0,False,False,,48,0.800,0.2398,0.0000,3,10.063,,,0.795,trame
hd02_002,living+kitchen+bedroom+bathroom+hallway,5,pavage,4,False,False,,48,0.800,0.2398,0.0000,3,10.063,,,1.078,trame
hd02_002,living+kitchen+bedroom+bathroom+hallway,5,pavage,8,False,False,,48,0.800,0.2398,0.0000,3,10.063,,,0.834,trame
hd02_002,living+kitchen+bedroom+bathroom+hallway,5,pavage,16,False,False,,48,0.800,0.2398,0.0000,3,10.063,,,0.800,trame
hd02_003,living+kitchen+bedroom+bathroom+hallway,5,base,,False,False,,81,1.200,0.1581,0.0000,2,9.500,,,2.190,invariant_viole
