plan_id,programme,graphe,n_pieces,mode,budget,largeur_min,valide_avant,valide_apres,n_pieces_apres,cote_min_apres,intact,cellules,recouvrements_avant,part_jour_avant,part_trou_avant,morceaux_avant,cote_m,deplacement_max_m,deplacement_relatif,temps_ms,statut
hd00_000,living+kitchen+bedroom+bathroom,plausible,4,base,,0.50,False,False,,,,30,0.500,0.1759,0.0000,3,9.918,,,5.190,invariant_viole
hd00_000,living+kitchen+bedroom+bathroom,plausible,4,pavage,0,0.50,False,False,,,,30,0.500,0.1759,0.0000,3,9.918,,,0.768,trame
hd00_000,living+kitchen+bedroom+bathroom,plausible,4,pavage,4,0.50,False,False,,,,30,0.500,0.1759,0.0000,3,9.918,,,3.144,infaisable
hd00_000,living+kitchen+bedroom+bathroom,plausible,4,pavage,8,0.50,False,False,,,,30,0.500,0.1759,0.0000,3,9.918,,,2.982,infaisable
hd00_000,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,0.50,False,False,,,,30,0.500,0.1759,0.0000,3,9.918,,,4.506,infaisable
hd00_000,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,0.00,False,True,4,0.0000,False,30,0.500,0.1759,0.0000,3,9.918,3.290091,0.3317,3.856,ok
hd00_000,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,0.25,False,False,,,,30,0.500,0.1759,0.0000,3,9.918,,,5.159,infaisable
hd00_000,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,1.00,False,False,,,,30,0.500,0.1759,0.0000,3,9.918,,,5.354,infaisable
hd00_000,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,1.80,False,False,,,,30,0.500,0.1759,0.0000,3,9.918,,,5.413,infaisable
hd00_001,living+kitchen+bedroom+bathroom,plausible,4,base,,0.50,False,False,,,,42,0.500,0.2309,0.0000,3,8.984,,,2.822,invariant_viole
hd00_001,living+kitchen+bedroom+bathroom,plausible,4,pavage,0,0.50,False,False,,,,42,0.500,0.2309,0.0000,3,8.984,,,0.944,trame
hd00_001,living+kitchen+bedroom+bathroom,plausible,4,pavage,4,0.50,False,True,4,0.9048,True,42,0.500,0.2309,0.0000,3,8.984,7.320452,0.8149,4.504,ok
hd00_001,living+kitchen+bedroom+bathroom,plausible,4,pavage,8,0.50,False,True,4,0.9048,True,42,0.500,0.2309,0.0000,3,8.984,7.320452,0.8149,3.534,ok
hd00_001,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,0.50,False,True,4,0.9048,True,42,0.500,0.2309,0.0000,3,8.984,7.320452,0.8149,2.672,ok
hd00_001,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,0.00,False,True,4,0.9048,True,42,0.500,0.2309,0.0000,3,8.984,7.320452,0.8149,2.629,ok
hd00_001,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,0.25,False,True,4,0.9048,True,42,0.500,0.2309,0.0000,3,8.984,7.320452,0.8149,2.516,ok
hd00_001,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,1.00,False,True,4,1.0000,True,42,0.500,0.2309,0.0000,3,8.984,7.320452,0.8149,3.918,ok
hd00_001,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,1.80,False,True,4,1.8000,True,42,0.500,0.2309,0.0000,3,8.984,7.320452,0.8149,3.836,ok
hd00_002,living+kitchen+bedroom+bathroom,plausible,4,base,,0.50,False,False,,,,42,0.000,0.3499,0.0000,4,8.368,,,1.903,invariant_viole
hd00_002,living+kitchen+bedroom+bathroom,plausible,4,pavage,0,0.50,False,False,,,,42,0.000,0.3499,0.0000,4,8.368,,,0.636,trame
hd00_002,living+kitchen+bedroom+bathroom,plausible,4,pavage,4,0.50,False,True,4,0.9048,True,42,0.000,0.3499,0.0000,4,8.368,6.004416,0.7176,2.669,ok
hd00_002,living+kitchen+bedroom+bathroom,plausible,4,pavage,8,0.50,False,True,4,0.9048,True,42,0.000,0.3499,0.0000,4,8.368,6.004416,0.7176,5.174,ok
hd00_002,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,0.50,False,True,4,0.9048,True,42,0.000,0.3499,0.0000,4,8.368,6.004416,0.7176,4.774,ok
hd00_002,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,0.00,False,True,4,0.9048,True,42,0.000,0.3499,0.0000,4,8.368,6.004416,0.7176,2.980,ok
hd00_002,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,0.25,False,True,4,0.9048,True,42,0.000,0.3499,0.0000,4,8.368,6.004416,0.7176,2.805,ok
hd00_002,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,1.00,False,True,4,1.0000,True,42,0.000,0.3499,0.0000,4,8.368,6.004416,0.7176,3.486,ok
hd00_002,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,1.80,False,True,4,1.8000,True,42,0.000,0.3499,0.0000,4,8.368,5.675407,0.6783,2.715,ok
hd00_003,living+kitchen+bedroom+bathroom,plausible,4,base,,0.50,False,False,,,,24,1.000,0.1957,0.0000,2,7.555,,,1.921,invariant_viole
hd00_003,living+kitchen+bedroom+bathroom,plausible,4,pavage,0,0.50,False,False,,,,24,1.000,0.1957,0.0000,2,7.555,,,0.581,trame
hd00_003,living+kitchen+bedroom+bathroom,plausible,4,pavage,4,0.50,False,False,,,,24,1.000,0.1957,0.0000,2,7.555,,,2.407,infaisable
hd00_003,living+kitchen+bedroom+bathroom,plausible,4,pavage,8,0.50,False,False,,,,24,1.000,0.1957,0.0000,2,7.555,,,2.463,infaisable
hd00_003,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,0.50,False,False,,,,24,1.000,0.1957,0.0000,2,7.555,,,3.552,infaisable
hd00_003,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,0.00,False,True,4,0.0000,False,24,1.000,0.1957,0.0000,2,7.555,2.303064,0.3048,3.584,ok
hd00_003,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,0.25,False,False,,,,24,1.000,0.1957,0.0000,2,7.555,,,3.861,infaisable
hd00_003,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,1.00,False,False,,,,24,1.000,0.1957,0.0000,2,7.555,,,2.511,infaisable
hd00_003,living+kitchen+bedroom+bathroom,plausible,4,pavage,16,1.80,False,False,,,,24,1.000,0.1957,0.0000,2,7.555,,,3.099,infaisable
hd00_004,living+kitchen+bedroom+bathroom,plausible,4,base,,0.50,False,False,,,,35,0.500,0.2085,0.0000,3,9.315,,,1.824,invariant_viole
